symbol,chain_id,direction,entry,stop_loss,tp1,rr,status,pnl_r,signal_time,entry_time,exit_time,exit_price,bars_in_trade
SOL/USDT,Signal_1,LONG,155.46439999999998,152.355112,157.61,2.49,CLOSED_TP,2.49,2025-11-09 03:30,2025-11-09 03:45,2025-11-09 04:15,157.61,3
SOL/USDT,Signal_1,LONG,158.0638,154.902524,163.215,1.67,CLOSED_TP,1.67,2025-11-09 04:00,2025-11-09 05:45,2025-11-09 15:30,163.215,40
SOL/USDT,Signal_1,LONG,158.0638,154.902524,163.215,1.67,CLOSED_TP,1.67,2025-11-09 06:00,2025-11-09 06:15,2025-11-09 15:30,163.215,38
SOL/USDT,Signal_1,LONG,165.3126,162.006348,170.6376,3.22,CLOSED_TP,3.22,2025-11-10 04:00,2025-11-10 14:45,2025-11-11 01:15,170.6376,43
SOL/USDT,Signal_1,LONG,165.3126,162.006348,170.6376,3.22,CLOSED_TP,3.22,2025-11-10 04:30,2025-11-10 14:45,2025-11-11 01:15,170.6376,43
SOL/USDT,Signal_1,LONG,165.3126,162.006348,171.62224285714285,3.82,CLOSED_SL,-1.0,2025-11-11 04:00,2025-11-11 05:00,2025-11-11 14:00,162.006348,37
SOL/USDT,Signal_1,LONG,165.3126,162.006348,171.62224285714285,3.82,CLOSED_SL,-1.0,2025-11-11 05:30,2025-11-11 05:45,2025-11-11 14:00,162.006348,34
SOL/USDT,Signal_1,LONG,154.2348,152.29742857142858,156.5,1.99,CLOSED_SL,-1.0,2025-11-12 16:00,2025-11-12 16:30,2025-11-12 19:00,152.29742857142858,11
SOL/USDT,Signal_1,LONG,154.2348,152.29742857142858,156.5,1.99,CLOSED_SL,-1.0,2025-11-12 16:30,2025-11-12 17:30,2025-11-12 19:00,152.29742857142858,7
SOL/USDT,2.6,SHORT,154.575,157.6487857142857,152.1310714285714,1.59,CLOSED_TP,1.59,2025-11-12 16:30,2025-11-12 17:30,2025-11-12 19:00,152.1310714285714,7
SOL/USDT,Signal_1,LONG,154.2348,152.29742857142858,156.5,1.99,CLOSED_SL,-1.0,2025-11-12 19:00,2025-11-12 20:15,2025-11-13 01:15,152.29742857142858,21
SOL/USDT,Signal_1,LONG,154.2348,152.36471428571429,156.5,2.06,CLOSED_SL,-1.0,2025-11-12 21:30,2025-11-13 00:30,2025-11-13 01:15,152.36471428571429,4
SOL/USDT,Signal_1,LONG,154.2348,152.3192857142857,156.5,2.01,CLOSED_TP,2.01,2025-11-13 01:15,2025-11-13 03:30,2025-11-13 05:45,156.5,10
SOL/USDT,Signal_1,LONG,154.2348,152.3192857142857,156.5,2.01,CLOSED_TP,2.01,2025-11-13 02:30,2025-11-13 03:30,2025-11-13 05:45,156.5,10
SOL/USDT,Signal_1,LONG,154.2348,152.315,156.5,2.01,CANCELLED,0.0,2025-11-13 05:45,,2025-11-13 06:00,,0
SOL/USDT,Signal_1,LONG,154.2348,152.3857142857143,156.5,2.08,CANCELLED,0.0,2025-11-13 10:00,,2025-11-13 11:30,,0
SOL/USDT,Signal_1,LONG,154.2348,152.315,156.5,2.01,CLOSED_TP,2.01,2025-11-13 07:30,2025-11-13 09:00,2025-11-13 11:30,156.5,11
SOL/USDT,Signal_1,LONG,141.7062,138.872076,143.225,2.66,CANCELLED,0.0,2025-11-15 02:00,,2025-11-15 03:00,,0
